Yes,No,Task,Label1,Label2,Label3,Self_shape,Friend_shape,Stranger_shape,intro_label1,intro_label2,intro_label3,Shape1,Shape2,Shape3,intro_label_type1,intro_label_type2,Label,Target,Shape,CorrectAnswer,key_commands.thisRepN,key_commands.thisTrialN,key_commands.thisN,key_commands.thisIndex,task_order.thisRepN,task_order.thisTrialN,task_order.thisN,task_order.thisIndex,task_block.thisRepN,task_block.thisTrialN,task_block.thisN,task_block.thisIndex,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,moving_window_loop.thisRepN,moving_window_loop.thisTrialN,moving_window_loop.thisN,moving_window_loop.thisIndex,thisRow.t,notes,intro.started,intro_text.started,intro_resp.started,intro.stopped,instructions.started,instructions_text.started,instructions_resp.started,instructions.stopped,practice_fixation.started,practice_fixation_cross.started,practice_fixation.stopped,practice_target.started,practice_target_label.started,practice_target_plus.started,practice_target_shape.started,practice_resp.started,practice_target_label_valence.started,practice_target_label.stopped,practice_target_plus.stopped,practice_target_shape.stopped,practice_target_label_valence.stopped,practice_target.stopped,practice_resp.keys,practice_resp.corr,practice_resp.rt,practice_resp.duration,practice_ITI.started,ITI_text.started,ITI_text.stopped,practice_ITI.stopped,practice_feedback.started,practice_feedback_text.started,practice_feedback_text.stopped,practice_feedback.stopped,practice_resp.stopped,init_list_of_accuracies.started,text_2.started,init_list_of_accuracies.stopped,evaluate_accuracy.started,myaccuracy,number_of_attempts,evaluate_accuracy.stopped,print_accuracy.started,text_7.started,text_3.started,text_4.started,key_resp.started,print_accuracy.stopped,key_resp.keys,key_resp.rt,key_resp.duration,bakloop.started,participant,group,session,Age,Gender,Handiness,date,expName,psychopyVersion,frameRate,expStart,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Self,Self,Self,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5.328871800000002,,0.030662700000007703,0.049961199999998485,0.049961199999998485,1.135209400000008,1.201907399999996,1.2319423,1.2319423,3.181646799999996,3.181684500000003,3.196792799999997,5.193736299999998,5.234861300000006,5.328871800000002,5.328871800000002,5.328871800000002,5.328871800000002,5.328871800000002,5.593290199999998,5.593290199999998,5.593290199999998,5.593290199999998,5.794059300000001,m,1,0.45679280000000233,None,5.795043199999995,5.809472299999996,6.7744208000000015,6.758537099999998,6.758564300000003,6.7744208000000015,7.323930200000007,7.259428700000001,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Stranger,Stranger,Stranger,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,,,,,7.323930200000007,,,,,,,,,,,,,7.260152800000014,7.323930200000007,7.323930200000007,7.323930200000007,7.323930200000007,7.323930200000007,7.5751875999999925,7.5751875999999925,7.5751875999999925,7.5751875999999925,7.824041700000009,n,0,0.49415100000001644,None,7.824551899999989,7.839667200000008,9.022837400000014,9.005663099999992,9.005684400000007,9.022837400000014,,9.5220846,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Friend,Self,Self,No,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,,,,,9.570852800000011,,,,,,,,,,,,,9.52289909999999,9.570852800000011,9.570852800000011,9.570852800000011,9.570852800000011,9.570852800000011,9.820503800000012,9.820503800000012,9.820503800000012,9.820503800000012,10.055808799999994,m,0,0.4768971000000022,None,10.056673399999994,10.070263900000015,11.268795600000004,11.253280899999993,11.2533186,11.268795600000004,11.818130700000012,11.753748400000006,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Stranger,Friend,Friend,No,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,,,,,11.818130700000012,,,,,,,,,,,,,11.754503700000015,11.818130700000012,11.818130700000012,11.818130700000012,11.818130700000012,11.818130700000012,12.067951600000015,12.067951600000015,12.067951600000015,12.067951600000015,12.32076029999999,n,1,0.497311499999995,None,12.321914899999996,12.334328499999998,13.482694400000014,13.466925099999997,13.466964399999995,13.482694400000014,14.015111200000007,13.966281299999991,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Friend,Friend,Friend,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,,,,,14.015111200000007,,,,,,,,,,,,,13.966953200000006,14.015111200000007,14.015111200000007,14.015111200000007,14.015111200000007,14.015111200000007,14.264611900000006,14.264611900000006,14.264611900000006,14.264611900000006,14.452295700000008,m,1,0.4263974999999789,None,14.453614500000015,14.464985500000012,15.512974299999996,15.496817499999992,15.496836400000007,15.512974299999996,16.028557699999993,15.998546900000008,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Friend,Stranger,Stranger,No,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,16.028557699999993,,,,,,,,,,,,,15.998872199999994,16.028557699999993,16.028557699999993,16.028557699999993,16.028557699999993,16.028557699999993,16.278181700000005,16.278181700000005,16.278181700000005,16.278181700000005,16.4291518,n,1,0.3908839999999998,None,16.429486700000012,16.44511109999999,17.560215400000004,17.5451391,17.545178300000003,17.560215400000004,18.0765088,18.043174899999997,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Self,Stranger,Stranger,No,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,,,,,18.0765088,,,,,,,,,,,,,18.0434214,18.0765088,18.0765088,18.0765088,18.0765088,18.0765088,,,,,18.29388080000001,m,0,0.2098964000000194,None,18.294241700000015,18.30917819999999,19.441240300000004,19.4254162,19.425442199999992,19.441240300000004,19.957230199999998,19.924801400000007,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Friend,Friend,Friend,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,,,,,19.957230199999998,,,,,,,,,,,,,19.92530579999999,19.957230199999998,19.957230199999998,19.957230199999998,19.957230199999998,19.957230199999998,20.20697949999999,20.20697949999999,20.20697949999999,20.20697949999999,20.360089799999997,n,0,0.39201450000001614,None,20.361244499999998,20.374340899999993,21.521972599999998,21.507863000000015,21.50792340000001,21.521972599999998,22.037645499999996,22.005407100000014,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Stranger,Stranger,Stranger,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,,,,,22.037645499999996,,,,,,,,,,,,,22.005948899999993,22.037645499999996,22.037645499999996,22.037645499999996,22.037645499999996,22.037645499999996,,,,,22.055262200000016,m,1,0.0073948000000143566,None,22.055658300000005,22.07109650000001,23.336306400000012,23.321059399999996,23.32109890000001,23.336306400000012,23.868823899999995,23.82217320000001,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
m,n,Self,T,S,C,Triangle,Square,Circle,yourself,your friend,a stranger,self,friend,stranger,words,person,Stranger,Self,Self,No,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,,,,,23.868823899999995,,,,,,,,,,,,,23.823277899999994,23.868823899999995,23.868823899999995,23.868823899999995,23.868823899999995,23.868823899999995,24.11843920000001,24.11843920000001,24.11843920000001,24.11843920000001,24.220700099999988,m,0,0.33827320000000327,None,24.22153940000001,24.235749999999996,25.200165200000015,25.169187300000004,25.169240400000007,25.200165200000015,,25.68402850000001,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h02.02.512,GemmaAssocLearnV3,2023.2.3,60.157938652139,2023-11-23 07h02.11.051606 +0000,
